OFFER_ID,OFFER_DESC,OFFER_TYPE,PRICE,VALIDITY_UNIT,VALIDITY
636,TAG LAC 636,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
637,TAG LAC 637,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
637,TAG LAC 637,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
637,TAG LAC 637,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
637,TAG LAC 637,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
638,TAG LAC 638,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
638,TAG LAC 638,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
638,TAG LAC 638,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
638,TAG LAC 638,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
639,TAG LAC 639,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
639,TAG LAC 639,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
639,TAG LAC 639,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
639,TAG LAC 639,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
640,TAG LAC 640,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
640,TAG LAC 640,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
640,TAG LAC 640,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
640,TAG LAC 640,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
641,TAG LAC 641,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
641,TAG LAC 641,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
641,TAG LAC 641,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
641,TAG LAC 641,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
642,TAG LAC 642,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
642,TAG LAC 642,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
642,TAG LAC 642,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
642,TAG LAC 642,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
643,TAG LAC 643,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
643,TAG LAC 643,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
643,TAG LAC 643,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
643,TAG LAC 643,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
644,TAG LAC 644,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
644,TAG LAC 644,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
644,TAG LAC 644,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
644,TAG LAC 644,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
645,TAG LAC 645,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
645,TAG LAC 645,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
645,TAG LAC 645,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
645,TAG LAC 645,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
646,TAG LAC 646,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
646,TAG LAC 646,DATA_BUNDLE,0,LS_CLASSIC_1,DAY(S)
